organism,mol_type,strain,serotype,db_xref,accession,country,host,segment,collection_date,isolation_source,isolate,note,lab_host,lat_lon,collection_year,collection_month,collection_day,flu_season
Influenza A virus,viral cRNA,A/Ontario/070/2017,H3N2,taxon:11320,MH216372.1,Canada: Ontario,Homo sapiens,4,2017-01-27,nasopharyngeal swab,070,original specimen,,,2017.0,1.0,27.0,2016-2017
Influenza A virus,viral cRNA,A/Ontario/080/2017,H3N2,taxon:11320,MH216382.1,Canada: Ontario,Homo sapiens,4,2017-01-26,nasopharyngeal swab,080,original specimen,,,2017.0,1.0,26.0,2016-2017
Influenza A virus,viral cRNA,A/Ontario/072/2017,H3N2,taxon:11320,MH216374.1,Canada: Ontario,Homo sapiens,4,2017-01-26,nasopharyngeal swab,072,original specimen,,,2017.0,1.0,26.0,2016-2017
Influenza A virus,viral cRNA,A/Ontario/061/2017,H3N2,taxon:11320,MH216363.1,Canada: Ontario,Homo sapiens,4,2017-01-25,nasopharyngeal swab,061,original specimen,,,2017.0,1.0,25.0,2016-2017
Influenza A virus,viral cRNA,A/Ontario/064/2017,H3N2,taxon:11320,MH216366.1,Canada: Ontario,Homo sapiens,4,2017-01-25,nasopharyngeal swab,064,original specimen,,,2017.0,1.0,25.0,2016-2017
Influenza A virus,viral cRNA,A/Ontario/067/2017,H3N2,taxon:11320,MH216369.1,Canada: Ontario,Homo sapiens,4,2017-01-25,nasopharyngeal swab,067,original specimen,,,2017.0,1.0,25.0,2016-2017
Influenza A virus,viral cRNA,A/Ontario/065/2017,H3N2,taxon:11320,MH216367.1,Canada: Ontario,Homo sapiens,4,2017-01-24,nasopharyngeal swab,065,original specimen,,,2017.0,1.0,24.0,2016-2017
Influenza A virus,viral cRNA,A/Ontario/066/2017,H3N2,taxon:11320,MH216368.1,Canada: Ontario,Homo sapiens,4,2017-01-24,nasopharyngeal swab,066,original specimen,,,2017.0,1.0,24.0,2016-2017
Influenza A virus,viral cRNA,A/Ontario/063/2017,H3N2,taxon:11320,MH216365.1,Canada: Ontario,Homo sapiens,4,2017-01-24,nasopharyngeal swab,063,original specimen,,,2017.0,1.0,24.0,2016-2017
Influenza A virus,viral cRNA,A/Ontario/062/2017,H3N2,taxon:11320,MH216364.1,Canada: Ontario,Homo sapiens,4,2017-01-24,nasopharyngeal swab,062,original specimen,,,2017.0,1.0,24.0,2016-2017
Influenza A virus,viral cRNA,A/Ontario/059/2017,H3N2,taxon:11320,MH216361.1,Canada: Ontario,Homo sapiens,4,2017-01-24,nasopharyngeal swab,059,original specimen,,,2017.0,1.0,24.0,2016-2017
Influenza A virus,viral cRNA,A/Ontario/058/2017,H3N2,taxon:11320,MH216360.1,Canada: Ontario,Homo sapiens,4,2017-01-24,nasopharyngeal swab,058,original specimen,,,2017.0,1.0,24.0,2016-2017
Influenza A virus,viral cRNA,A/Ontario/057/2017,H3N2,taxon:11320,MH216359.1,Canada: Ontario,Homo sapiens,4,2017-01-24,nasopharyngeal swab,057,original specimen,,,2017.0,1.0,24.0,2016-2017
Influenza A virus,viral cRNA,A/Ontario/060/2017,H3N2,taxon:11320,MH216362.1,Canada: Ontario,Homo sapiens,4,2017-01-23,nasopharyngeal swab,060,original specimen,,,2017.0,1.0,23.0,2016-2017
Influenza A virus,viral cRNA,A/Ontario/055/2017,H3N2,taxon:11320,MH216357.1,Canada: Ontario,Homo sapiens,4,2017-01-23,nasopharyngeal swab,055,original specimen,,,2017.0,1.0,23.0,2016-2017
Influenza A virus,viral cRNA,A/Ontario/054/2017,H3N2,taxon:11320,MH216356.1,Canada: Ontario,Homo sapiens,4,2017-01-23,nasopharyngeal swab,054,original specimen,,,2017.0,1.0,23.0,2016-2017
Influenza A virus,viral cRNA,A/Ontario/053/2017,H3N2,taxon:11320,MH216355.1,Canada: Ontario,Homo sapiens,4,2017-01-23,nasopharyngeal swab,053,original specimen,,,2017.0,1.0,23.0,2016-2017
Influenza A virus,viral cRNA,A/Ontario/051/2017,H3N2,taxon:11320,MH216353.1,Canada: Ontario,Homo sapiens,4,2017-01-23,nasopharyngeal swab,051,original specimen,,,2017.0,1.0,23.0,2016-2017
Influenza A virus,viral cRNA,A/Ontario/049/2017,H3N2,taxon:11320,MH216351.1,Canada: Ontario,Homo sapiens,4,2017-01-20,nasopharyngeal swab,049,original specimen,,,2017.0,1.0,20.0,2016-2017
Influenza A virus,viral cRNA,A/Ontario/048/2017,H3N2,taxon:11320,MH216350.1,Canada: Ontario,Homo sapiens,4,2017-01-19,nasopharyngeal swab,048,original specimen,,,2017.0,1.0,19.0,2016-2017
Influenza A virus,viral cRNA,A/Ontario/056/2017,H3N2,taxon:11320,MH216358.1,Canada: Ontario,Homo sapiens,4,2017-01-19,nasopharyngeal swab,056,original specimen,,,2017.0,1.0,19.0,2016-2017
Influenza A virus,viral cRNA,A/Ontario/052/2017,H3N2,taxon:11320,MH216354.1,Canada: Ontario,Homo sapiens,4,2017-01-19,nasopharyngeal swab,052,original specimen,,,2017.0,1.0,19.0,2016-2017
Influenza A virus,viral cRNA,A/Ontario/045/2017,H3N2,taxon:11320,MH216348.1,Canada: Ontario,Homo sapiens,4,2017-01-19,nasopharyngeal swab,045,original specimen,,,2017.0,1.0,19.0,2016-2017
Influenza A virus,viral cRNA,A/Ontario/046/2017,H3N2,taxon:11320,MH216349.1,Canada: Ontario,Homo sapiens,4,2017-01-18,nasopharyngeal swab,046,original specimen,,,2017.0,1.0,18.0,2016-2017
Influenza A virus,viral cRNA,A/Ontario/074/2017,H3N2,taxon:11320,MH216376.1,Canada: Ontario,Homo sapiens,4,2017-01-18,nasopharyngeal swab,074,original specimen,,,2017.0,1.0,18.0,2016-2017
Influenza A virus,viral cRNA,A/Ontario/050/2017,H3N2,taxon:11320,MH216352.1,Canada: Ontario,Homo sapiens,4,2017-01-18,nasopharyngeal swab,050,original specimen,,,2017.0,1.0,18.0,2016-2017
Influenza A virus,viral cRNA,A/Ontario/042/2017,H3N2,taxon:11320,MH216345.1,Canada: Ontario,Homo sapiens,4,2017-01-18,nasopharyngeal swab,042,original specimen,,,2017.0,1.0,18.0,2016-2017
Influenza A virus,viral cRNA,A/Ontario/039/2017,H3N2,taxon:11320,MH216342.1,Canada: Ontario,Homo sapiens,4,2017-01-18,nasopharyngeal swab,039,original specimen,,,2017.0,1.0,18.0,2016-2017
Influenza A virus,viral cRNA,A/Ontario/036/2017,H3N2,taxon:11320,MH216339.1,Canada: Ontario,Homo sapiens,4,2017-01-17,nasopharyngeal swab,036,original specimen,,,2017.0,1.0,17.0,2016-2017
Influenza A virus,viral cRNA,A/Ontario/044/2017,H3N2,taxon:11320,MH216347.1,Canada: Ontario,Homo sapiens,4,2017-01-17,nasopharyngeal swab,044,original specimen,,,2017.0,1.0,17.0,2016-2017
Influenza A virus,viral cRNA,A/Ontario/033/2017,H3N2,taxon:11320,MH216336.1,Canada: Ontario,Homo sapiens,4,2017-01-17,nasopharyngeal swab,033,original specimen,,,2017.0,1.0,17.0,2016-2017
Influenza A virus,viral cRNA,A/Ontario/040/2017,H3N2,taxon:11320,MH216343.1,Canada: Ontario,Homo sapiens,4,2017-01-17,nasopharyngeal swab,040,original specimen,,,2017.0,1.0,17.0,2016-2017
Influenza A virus,viral cRNA,A/Ontario/034/2017,H3N2,taxon:11320,MH216337.1,Canada: Ontario,Homo sapiens,4,2017-01-17,nasopharyngeal swab,034,original specimen,,,2017.0,1.0,17.0,2016-2017
Influenza A virus,viral cRNA,A/Ontario/035/2017,H3N2,taxon:11320,MH216338.1,Canada: Ontario,Homo sapiens,4,2017-01-16,nasopharyngeal swab,035,original specimen,,,2017.0,1.0,16.0,2016-2017
Influenza A virus,viral cRNA,A/Ontario/147/2017,H3N2,taxon:11320,MH216445.1,Canada: Ontario,Homo sapiens,4,2017-01-16,nasopharyngeal swab,147,original specimen,,,2017.0,1.0,16.0,2016-2017
Influenza A virus,viral cRNA,A/Ontario/037/2017,H3N2,taxon:11320,MH216340.1,Canada: Ontario,Homo sapiens,4,2017-01-16,nasopharyngeal swab,037,original specimen,,,2017.0,1.0,16.0,2016-2017
Influenza A virus,viral cRNA,A/Ontario/038/2017,H3N2,taxon:11320,MH216341.1,Canada: Ontario,Homo sapiens,4,2017-01-16,nasopharyngeal swab,038,original specimen,,,2017.0,1.0,16.0,2016-2017
Influenza A virus,viral cRNA,A/Ontario/030/2017,H3N2,taxon:11320,MH216333.1,Canada: Ontario,Homo sapiens,4,2017-01-15,nasopharyngeal swab,030,original specimen,,,2017.0,1.0,15.0,2016-2017
Influenza A virus,viral cRNA,A/Ontario/041/2017,H3N2,taxon:11320,MH216344.1,Canada: Ontario,Homo sapiens,4,2017-01-14,nasopharyngeal swab,041,original specimen,,,2017.0,1.0,14.0,2016-2017
Influenza A virus,viral cRNA,A/Ontario/043/2017,H3N2,taxon:11320,MH216346.1,Canada: Ontario,Homo sapiens,4,2017-01-14,nasopharyngeal swab,043,original specimen,,,2017.0,1.0,14.0,2016-2017
Influenza A virus (A/Ontario/028/2017(H3N2)),viral cRNA,A/Ontario/028/2017,H3N2,taxon:1954919,KY583698.1,Canada: Ontario,Homo sapiens,4,2017-01-13,nasopharyngeal swab,,passage details: original specimen,,,2017.0,1.0,13.0,2016-2017
Influenza A virus,viral cRNA,A/Ontario/032/2017,H3N2,taxon:11320,MH216335.1,Canada: Ontario,Homo sapiens,4,2017-01-13,nasopharyngeal swab,032,original specimen,,,2017.0,1.0,13.0,2016-2017
Influenza A virus,viral cRNA,A/Ontario/029/2017,H3N2,taxon:11320,MH216332.1,Canada: Ontario,Homo sapiens,4,2017-01-13,nasopharyngeal swab,029,original specimen,,,2017.0,1.0,13.0,2016-2017
Influenza A virus,viral cRNA,A/Ontario/031/2017,H3N2,taxon:11320,MH216334.1,Canada: Ontario,Homo sapiens,4,2017-01-13,nasopharyngeal swab,031,original specimen,,,2017.0,1.0,13.0,2016-2017
Influenza A virus (A/Ontario/023/2017(H3N2)),viral cRNA,A/Ontario/023/2017,H3N2,taxon:1954914,KY583691.1,Canada: Ontario,Homo sapiens,4,2017-01-12,nasopharyngeal swab,,passage details: original specimen,,,2017.0,1.0,12.0,2016-2017
Influenza A virus (A/Ontario/025/2017(H3N2)),viral cRNA,A/Ontario/025/2017,H3N2,taxon:1954916,KY583723.1,Canada: Ontario,Homo sapiens,4,2017-01-12,nasopharyngeal swab,,passage details: original specimen,,,2017.0,1.0,12.0,2016-2017
Influenza A virus (A/Ontario/026/2017(H3N2)),viral cRNA,A/Ontario/026/2017,H3N2,taxon:1954917,KY583712.1,Canada: Ontario,Homo sapiens,4,2017-01-12,nasopharyngeal swab,,passage details: original specimen,,,2017.0,1.0,12.0,2016-2017
Influenza A virus (A/Ontario/022/2017(H3N2)),viral cRNA,A/Ontario/022/2017,H3N2,taxon:1954913,KY583711.1,Canada: Ontario,Homo sapiens,4,2017-01-11,nasopharyngeal swab,,passage details: original specimen,,,2017.0,1.0,11.0,2016-2017
Influenza A virus (A/Ontario/027/2017(H3N2)),viral cRNA,A/Ontario/027/2017,H3N2,taxon:1954918,KY583702.1,Canada: Ontario,Homo sapiens,4,2017-01-11,nasopharyngeal swab,,passage details: original specimen,,,2017.0,1.0,11.0,2016-2017
Influenza A virus (A/Ontario/018/2017(H3N2)),viral cRNA,A/Ontario/018/2017,H3N2,taxon:1954910,KY583697.1,Canada: Ontario,Homo sapiens,4,2017-01-10,nasopharyngeal swab,,passage details: original specimen,,,2017.0,1.0,10.0,2016-2017
Influenza A virus (A/Ontario/020/2017(H3N2)),viral cRNA,A/Ontario/020/2017,H3N2,taxon:1954912,KY583716.1,Canada: Ontario,Homo sapiens,4,2017-01-09,nasopharyngeal swab,,passage details: original specimen,,,2017.0,1.0,9.0,2016-2017
Influenza A virus (A/Ontario/013/2017(H3N2)),viral cRNA,A/Ontario/013/2017,H3N2,taxon:1954905,KY583719.1,Canada: Ontario,Homo sapiens,4,2017-01-09,nasopharyngeal swab,,passage details: original specimen,,,2017.0,1.0,9.0,2016-2017
Influenza A virus (A/Ontario/024/2017(H3N2)),viral cRNA,A/Ontario/024/2017,H3N2,taxon:1954915,KY583726.1,Canada: Ontario,Homo sapiens,4,2017-01-09,nasopharyngeal swab,,passage details: original specimen,,,2017.0,1.0,9.0,2016-2017
Influenza A virus (A/Ontario/011/2017(H3N2)),viral cRNA,A/Ontario/011/2017,H3N2,taxon:1954903,KY583725.1,Canada: Ontario,Homo sapiens,4,2017-01-09,nasopharyngeal swab,,passage details: original specimen,,,2017.0,1.0,9.0,2016-2017
Influenza A virus (A/Ontario/019/2017(H3N2)),viral cRNA,A/Ontario/019/2017,H3N2,taxon:1954911,KY583722.1,Canada: Ontario,Homo sapiens,4,2017-01-09,nasopharyngeal swab,,passage details: original specimen,,,2017.0,1.0,9.0,2016-2017
Influenza A virus (A/Ontario/016/2017(H3N2)),viral cRNA,A/Ontario/016/2017,H3N2,taxon:1954908,KY583707.1,Canada: Ontario,Homo sapiens,4,2017-01-07,nasopharyngeal swab,,passage details: original specimen,,,2017.0,1.0,7.0,2016-2017
Influenza A virus (A/Ontario/015/2017(H3N2)),viral cRNA,A/Ontario/015/2017,H3N2,taxon:1954907,KY583706.1,Canada: Ontario,Homo sapiens,4,2017-01-07,nasopharyngeal swab,,passage details: original specimen,,,2017.0,1.0,7.0,2016-2017
Influenza A virus (A/Ontario/017/2017(H3N2)),viral cRNA,A/Ontario/017/2017,H3N2,taxon:1954909,KY583690.1,Canada: Ontario,Homo sapiens,4,2017-01-07,nasopharyngeal swab,,passage details: original specimen,,,2017.0,1.0,7.0,2016-2017
Influenza A virus (A/Ontario/014/2017(H3N2)),viral cRNA,A/Ontario/014/2017,H3N2,taxon:1954906,KY583709.1,Canada: Ontario,Homo sapiens,4,2017-01-06,nasopharyngeal swab,,passage details: original specimen,,,2017.0,1.0,6.0,2016-2017
Influenza A virus (A/Ontario/012/2017(H3N2)),viral cRNA,A/Ontario/012/2017,H3N2,taxon:1954904,KY583718.1,Canada: Ontario,Homo sapiens,4,2017-01-06,nasopharyngeal swab,,passage details: original specimen,,,2017.0,1.0,6.0,2016-2017
Influenza A virus (A/Ontario/010/2017(H3N2)),viral cRNA,A/Ontario/010/2017,H3N2,taxon:1954902,KY583692.1,Canada: Ontario,Homo sapiens,4,2017-01-05,nasopharyngeal swab,,passage details: original specimen,,,2017.0,1.0,5.0,2016-2017
Influenza A virus (A/Ontario/007/2017(H3N2)),viral cRNA,A/Ontario/007/2017,H3N2,taxon:1954901,KY583705.1,Canada: Ontario,Homo sapiens,4,2017-01-04,nasopharyngeal swab,,passage details: original specimen,,,2017.0,1.0,4.0,2016-2017
Influenza A virus (A/Ontario/006/2017(H3N2)),viral cRNA,A/Ontario/006/2017,H3N2,taxon:1954900,KY583714.1,Canada: Ontario,Homo sapiens,4,2017-01-04,nasopharyngeal swab,,passage details: original specimen,,,2017.0,1.0,4.0,2016-2017
Influenza A virus (A/Ontario/004/2017(H3N2)),viral cRNA,A/Ontario/004/2017,H3N2,taxon:1954899,KY583701.1,Canada: Ontario,Homo sapiens,4,2017-01-03,nasopharyngeal swab,,passage details: original specimen,,,2017.0,1.0,3.0,2016-2017
Influenza A virus (A/Ontario/001/2017(H3N2)),viral cRNA,A/Ontario/001/2017,H3N2,taxon:1954897,KY583694.1,Canada: Ontario,Homo sapiens,4,2017-01-03,nasopharyngeal swab,,passage details: original specimen,,,2017.0,1.0,3.0,2016-2017
Influenza A virus (A/Ontario/003/2017(H3N2)),viral cRNA,A/Ontario/003/2017,H3N2,taxon:1954898,KY583704.1,Canada: Ontario,Homo sapiens,4,2017-01-03,nasopharyngeal swab,,passage details: original specimen,,,2017.0,1.0,3.0,2016-2017
Influenza A virus (A/Ontario/268/2016(H3N2)),viral cRNA,A/Ontario/268/2016,H3N2,taxon:1954944,KY583724.1,Canada: Ontario,Homo sapiens,4,2016-12-31,nasopharyngeal swab,,passage details: original specimen,,,2016.0,12.0,31.0,2016-2017
Influenza A virus (A/Ontario/267/2016(H3N2)),viral cRNA,A/Ontario/267/2016,H3N2,taxon:1954943,KY583700.1,Canada: Ontario,Homo sapiens,4,2016-12-30,nasopharyngeal swab,,passage details: original specimen,,,2016.0,12.0,30.0,2016-2017
Influenza A virus (A/Ontario/266/2016(H3N2)),viral cRNA,A/Ontario/266/2016,H3N2,taxon:1954942,KY583727.1,Canada: Ontario,Homo sapiens,4,2016-12-30,nasopharyngeal swab,,passage details: original specimen,,,2016.0,12.0,30.0,2016-2017
Influenza A virus (A/Ontario/265/2016(H3N2)),viral cRNA,A/Ontario/265/2016,H3N2,taxon:1954941,KY583703.1,Canada: Ontario,Homo sapiens,4,2016-12-30,nasopharyngeal swab,,passage details: original specimen,,,2016.0,12.0,30.0,2016-2017
Influenza A virus (A/Ontario/261/2016(H3N2)),viral cRNA,A/Ontario/261/2016,H3N2,taxon:1954938,KY583688.1,Canada: Ontario,Homo sapiens,4,2016-12-29,nasopharyngeal swab,,passage details: original specimen,,,2016.0,12.0,29.0,2016-2017
Influenza A virus (A/Ontario/260/2016(H3N2)),viral cRNA,A/Ontario/260/2016,H3N2,taxon:1954937,KY583685.1,Canada: Ontario,Homo sapiens,4,2016-12-29,nasopharyngeal swab,,passage details: original specimen,,,2016.0,12.0,29.0,2016-2017
Influenza A virus (A/Ontario/264/2016(H3N2)),viral cRNA,A/Ontario/264/2016,H3N2,taxon:1954940,KY583696.1,Canada: Ontario,Homo sapiens,4,2016-12-28,nasopharyngeal swab,,passage details: original specimen,,,2016.0,12.0,28.0,2016-2017
Influenza A virus (A/Ontario/254/2016(H3N2)),viral cRNA,A/Ontario/254/2016,H3N2,taxon:1954931,KY583682.1,Canada: Ontario,Homo sapiens,4,2016-12-28,nasopharyngeal swab,,passage details: original specimen,,,2016.0,12.0,28.0,2016-2017
Influenza A virus (A/Ontario/262/2016(H3N2)),viral cRNA,A/Ontario/262/2016,H3N2,taxon:1954939,KY583686.1,Canada: Ontario,Homo sapiens,4,2016-12-28,nasopharyngeal swab,,passage details: original specimen,,,2016.0,12.0,28.0,2016-2017
Influenza A virus (A/Ontario/255/2016(H3N2)),viral cRNA,A/Ontario/255/2016,H3N2,taxon:1954932,KY583687.1,Canada: Ontario,Homo sapiens,4,2016-12-27,nasopharyngeal swab,,passage details: original specimen,,,2016.0,12.0,27.0,2016-2017
Influenza A virus (A/Ontario/259/2016(H3N2)),viral cRNA,A/Ontario/259/2016,H3N2,taxon:1954936,KY583684.1,Canada: Ontario,Homo sapiens,4,2016-12-24,nasopharyngeal swab,,passage details: original specimen,,,2016.0,12.0,24.0,2016-2017
Influenza A virus (A/Ontario/253/2016(H3N2)),viral cRNA,A/Ontario/253/2016,H3N2,taxon:1954930,KY583680.1,Canada: Ontario,Homo sapiens,4,2016-12-24,nasopharyngeal swab,,passage details: original specimen,,,2016.0,12.0,24.0,2016-2017
Influenza A virus (A/Ontario/257/2016(H3N2)),viral cRNA,A/Ontario/257/2016,H3N2,taxon:1954934,KY583689.1,Canada: Ontario,Homo sapiens,4,2016-12-23,nasopharyngeal swab,,passage details: original specimen,,,2016.0,12.0,23.0,2016-2017
Influenza A virus (A/Ontario/258/2016(H3N2)),viral cRNA,A/Ontario/258/2016,H3N2,taxon:1954935,KY583683.1,Canada: Ontario,Homo sapiens,4,2016-12-23,nasopharyngeal swab,,passage details: original specimen,,,2016.0,12.0,23.0,2016-2017
Influenza A virus (A/Ontario/256/2016(H3N2)),viral cRNA,A/Ontario/256/2016,H3N2,taxon:1954933,KY583693.1,Canada: Ontario,Homo sapiens,4,2016-12-23,nasopharyngeal swab,,passage details: original specimen,,,2016.0,12.0,23.0,2016-2017
Influenza A virus (A/Ontario/252/2016(H3N2)),viral cRNA,A/Ontario/252/2016,H3N2,taxon:1954929,KY583681.1,Canada: Ontario,Homo sapiens,4,2016-12-22,nasopharyngeal swab,,passage details: original specimen,,,2016.0,12.0,22.0,2016-2017
Influenza A virus (A/Ontario/251/2016(H3N2)),viral cRNA,A/Ontario/251/2016,H3N2,taxon:1954928,KY583695.1,Canada: Ontario,Homo sapiens,4,2016-12-21,nasopharyngeal swab,,passage details: original specimen,,,2016.0,12.0,21.0,2016-2017
Influenza A virus (A/Ontario/250/2016(H3N2)),viral cRNA,A/Ontario/250/2016,H3N2,taxon:1954927,KY583710.1,Canada: Ontario,Homo sapiens,4,2016-12-21,nasopharyngeal swab,,passage details: original specimen,,,2016.0,12.0,21.0,2016-2017
Influenza A virus (A/Ontario/247/2016(H3N2)),viral cRNA,A/Ontario/247/2016,H3N2,taxon:1954924,KY583708.1,Canada: Ontario,Homo sapiens,4,2016-12-21,nasopharyngeal swab,,passage details: original specimen,,,2016.0,12.0,21.0,2016-2017
Influenza A virus (A/Ontario/245/2016(H3N2)),viral cRNA,A/Ontario/245/2016,H3N2,taxon:1954922,KY583699.1,Canada: Ontario,Homo sapiens,4,2016-12-20,nasopharyngeal swab,,passage details: original specimen,,,2016.0,12.0,20.0,2016-2017
Influenza A virus (A/Ontario/246/2016(H3N2)),viral cRNA,A/Ontario/246/2016,H3N2,taxon:1954923,KY583715.1,Canada: Ontario,Homo sapiens,4,2016-12-20,nasopharyngeal swab,,passage details: original specimen,,,2016.0,12.0,20.0,2016-2017
Influenza A virus (A/Ontario/248/2016(H3N2)),viral cRNA,A/Ontario/248/2016,H3N2,taxon:1954925,KY583720.1,Canada: Ontario,Homo sapiens,4,2016-12-20,nasopharyngeal swab,,passage details: original specimen,,,2016.0,12.0,20.0,2016-2017
Influenza A virus (A/Ontario/249/2016(H3N2)),viral cRNA,A/Ontario/249/2016,H3N2,taxon:1954926,KY583721.1,Canada: Ontario,Homo sapiens,4,2016-12-20,nasopharyngeal swab,,passage details: original specimen,,,2016.0,12.0,20.0,2016-2017
Influenza A virus (A/Ontario/244/2016(H3N2)),viral cRNA,A/Ontario/244/2016,H3N2,taxon:1954921,KY583717.1,Canada: Ontario,Homo sapiens,4,2016-12-19,nasopharyngeal swab,,passage details: original specimen,,,2016.0,12.0,19.0,2016-2017
Influenza A virus (A/Ontario/242/2016(H3N2)),viral cRNA,A/Ontario/242/2016,H3N2,taxon:1954920,KY583713.1,Canada: Ontario,Homo sapiens,4,2016-12-14,nasopharyngeal swab,,passage details: original specimen,,,2016.0,12.0,14.0,2016-2017
Influenza A virus (A/Ontario/238/2016(H1N1)),viral cRNA,A/Ontario/238/2016,H1N1,taxon:2007675,MF195582.1,Canada: Ontario,Homo sapiens,4,2016-04-25,nasopharyngeal wash,,passage details: original specimen,,,2016.0,4.0,25.0,2015-2016
Influenza A virus (A/Ontario/237/2016(H1N1)),viral cRNA,A/Ontario/237/2016,H1N1,taxon:2007674,MF195581.1,Canada: Ontario,Homo sapiens,4,2016-04-20,nasopharyngeal wash,,passage details: original specimen,,,2016.0,4.0,20.0,2015-2016
Influenza A virus (A/Ontario/235/2016(H1N1)),viral cRNA,A/Ontario/235/2016,H1N1,taxon:2007673,MF195580.1,Canada: Ontario,Homo sapiens,4,2016-04-19,nasopharyngeal wash,,passage details: original specimen,,,2016.0,4.0,19.0,2015-2016
Influenza A virus (A/Ontario/234/2016(H1N1)),viral cRNA,A/Ontario/234/2016,H1N1,taxon:2007672,MF195579.1,Canada: Ontario,Homo sapiens,4,2016-04-18,nasopharyngeal wash,,passage details: original specimen,,,2016.0,4.0,18.0,2015-2016
Influenza A virus (A/Ontario/233/2016(H3N2)),viral cRNA,A/Ontario/233/2016,H3N2,taxon:2007671,MF195739.1,Canada: Ontario,Homo sapiens,4,2016-04-18,nasopharyngeal wash,,passage details: original specimen,,,2016.0,4.0,18.0,2015-2016
Influenza A virus (A/Ontario/231/2016(H3N2)),viral cRNA,A/Ontario/231/2016,H3N2,taxon:2007670,MF195738.1,Canada: Ontario,Homo sapiens,4,2016-04-14,nasopharyngeal wash,,passage details: original specimen,,,2016.0,4.0,14.0,2015-2016
Influenza A virus (A/Ontario/230/2016(H1N1)),viral cRNA,A/Ontario/230/2016,H1N1,taxon:2007669,MF195578.1,Canada: Ontario,Homo sapiens,4,2016-04-11,nasopharyngeal wash,,passage details: original specimen,,,2016.0,4.0,11.0,2015-2016
Influenza A virus (A/Ontario/229/2016(H1N1)),viral cRNA,A/Ontario/229/2016,H1N1,taxon:2007668,MF195577.1,Canada: Ontario,Homo sapiens,4,2016-04-07,nasopharyngeal wash,,passage details: original specimen,,,2016.0,4.0,7.0,2015-2016
Influenza A virus (A/Ontario/228/2016(H1N1)),viral cRNA,A/Ontario/228/2016,H1N1,taxon:2007667,MF195576.1,Canada: Ontario,Homo sapiens,4,2016-04-07,nasopharyngeal wash,,passage details: original specimen,,,2016.0,4.0,7.0,2015-2016
Influenza A virus (A/Ontario/226/2016(H1N1)),viral cRNA,A/Ontario/226/2016,H1N1,taxon:2007665,MF195574.1,Canada: Ontario,Homo sapiens,4,2016-04-06,nasopharyngeal wash,,passage details: original specimen,,,2016.0,4.0,6.0,2015-2016
Influenza A virus (A/Ontario/227/2016(H1N1)),viral cRNA,A/Ontario/227/2016,H1N1,taxon:2007666,MF195575.1,Canada: Ontario,Homo sapiens,4,2016-04-06,nasopharyngeal wash,,passage details: original specimen,,,2016.0,4.0,6.0,2015-2016
Influenza A virus (A/Ontario/225/2016(H1N1)),viral cRNA,A/Ontario/225/2016,H1N1,taxon:2007664,MF195573.1,Canada: Ontario,Homo sapiens,4,2016-04-05,nasopharyngeal wash,,passage details: original specimen,,,2016.0,4.0,5.0,2015-2016
Influenza A virus (A/Ontario/224/2016(H1N1)),viral cRNA,A/Ontario/224/2016,H1N1,taxon:2007663,MF195572.1,Canada: Ontario,Homo sapiens,4,2016-04-04,nasopharyngeal wash,,passage details: original specimen,,,2016.0,4.0,4.0,2015-2016
Influenza A virus (A/Ontario/222/2016(H1N1)),viral cRNA,A/Ontario/222/2016,H1N1,taxon:2007661,MF195570.1,Canada: Ontario,Homo sapiens,4,2016-03-31,nasopharyngeal wash,,passage details: original specimen,,,2016.0,3.0,31.0,2015-2016
Influenza A virus (A/Ontario/221/2016(H1N1)),viral cRNA,A/Ontario/221/2016,H1N1,taxon:2007660,MF195569.1,Canada: Ontario,Homo sapiens,4,2016-03-31,nasopharyngeal wash,,passage details: original specimen,,,2016.0,3.0,31.0,2015-2016
Influenza A virus (A/Ontario/220/2016(H1N1)),viral cRNA,A/Ontario/220/2016,H1N1,taxon:2007659,MF195568.1,Canada: Ontario,Homo sapiens,4,2016-03-30,nasopharyngeal wash,,passage details: original specimen,,,2016.0,3.0,30.0,2015-2016
Influenza A virus (A/Ontario/217/2016(H1N1)),viral cRNA,A/Ontario/217/2016,H1N1,taxon:2007656,MF195565.1,Canada: Ontario,Homo sapiens,4,2016-03-30,nasopharyngeal wash,,passage details: original specimen,,,2016.0,3.0,30.0,2015-2016
Influenza A virus (A/Ontario/219/2016(H1N1)),viral cRNA,A/Ontario/219/2016,H1N1,taxon:2007658,MF195567.1,Canada: Ontario,Homo sapiens,4,2016-03-29,nasopharyngeal wash,,passage details: original specimen,,,2016.0,3.0,29.0,2015-2016
Influenza A virus (A/Ontario/218/2016(H1N1)),viral cRNA,A/Ontario/218/2016,H1N1,taxon:2007657,MF195566.1,Canada: Ontario,Homo sapiens,4,2016-03-29,nasopharyngeal wash,,passage details: original specimen,,,2016.0,3.0,29.0,2015-2016
Influenza A virus (A/Ontario/216/2016(H1N1)),viral cRNA,A/Ontario/216/2016,H1N1,taxon:2007655,MF195564.1,Canada: Ontario,Homo sapiens,4,2016-03-29,nasopharyngeal wash,,passage details: original specimen,,,2016.0,3.0,29.0,2015-2016
